pdf_file,csv_paper,csv_rating,scan_candidate,match_tier,pattern_name,page,context_snippet
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,no,partial,weak,challenge-mention,23,"and software towards impactful applications. Image source [520]. 10 13): The ultimate milestone targets the devel- ment to overcoming the fundamental challenges of quan- − opmentofaquantumcomputerwiththecapability tum computing. Their work in extending qubit coher- to manage and control 1,000,000 qubits. Th"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,no,partial,weak,challenge-mention,23,"o its groundbreaking achievements in quantum puters, developing such a device remains a formidable supremacy, Google Quantum AI’s achievements under- challenge and is still several years away. score the transformative potential of quantum technol- ogy and its capacity to address complex computational proble"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,no,partial,weak,challenge-mention,29,"Xiv:1807.04792, (2018). nonlinear interferometers, Phys. Rev. Lett. 89, 247901 [169] Alan Ho, Jarrod McClean, Shyue Ping Ong, The (2002). promise and challenges of quantum computing for en- [154] IuliaBulutaandFrancoNori,QuantumSimulators,Sci- ergy storage, Joule 2 (5), 810-813, (2018). ence 326, 108 (2009)"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,no,partial,weak,challenge-mention,35,"wski, J. Time crystals: a review. bin, Ryan Babbush, Austin J Minnich, Garnet Kin- Rep. Prog. Phys. 81, 016401 (2017). Lic Chan, Simulating models of challenging correlated [333] Khemani, V., Moessner, R. and Sondhi, S. A brief his- moleculesandmaterialsontheSycamorequantumpro- tory of time crystals. Prepri"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,no,partial,weak,challenge-mention,39,"on dig- Lee, Hartmut Neven, Ryan Babbush, Andrew D ital quantum computers: State-of-the-art and future Baczewski,Quantumcomputationofstoppingpowerfor challenges. Nat Commun 15, 2123 (2024). inertialfusiontargetdesign,ProceedingsoftheNational [489] Chen,Y.etal.Multiplexeddispersivereadoutofsuper- Academy of"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,no,partial,weak,tradeoff-mention,11,"umptions [187, 188]. RCS is also ac- sical computers. Google Quantum AI seeks to optimize knowledged as computationally demanding for fully ran- this trade-off, aiming to maximize the “computational domquantumcircuits,accordingtowidelyacceptedcon- resource,” a measure of how well a quantum processor jectures"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,no,partial,weak,tradeoff-mention,11,"quantum processor jectures [191, 192, 407]. balances these considerations. RCS has proven to meet average-case hardness con- A prime example of this trade-off is the RCS exper- ditions [187, 189, 190], which is crucial for understand- iment [9], a fundamental benchmark in quantum com- ing computational diff"
AbuGhanem - 2024 - Google Quantum AI's Quest for Error-Corrected Quantum Computers.pdf,AbuGhanem,no,partial,weak,tradeoff-mention,11,"g. evenfault-tolerantquantumcomputerscanonlyperform In [483], Google Quantum AI explores and elucidates RCS with a small acceptable error margin. the trade-off between the sensitivity of an experimen- From an experimental standpoint, performing RCS on tal observable to noise and the corresponding classical n"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,failure-mention,4,"cludes larger fault-tolerant circuits12,21. When we examine the detection patterns for these high-distance logical failures, we observe two different failure modes (Supplementary Information). The first failure mode manifests as one or two detectors suddenly increasing in the detection probability by more"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,failure-mention,4,"xamine the detection patterns for these high-distance logical failures, we observe two different failure modes (Supplementary Information). The first failure mode manifests as one or two detectors suddenly increasing in the detection probability by more than a fac- tor of 3, settling to their initial detec"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,failure-mention,4,"tion frequencies of a qubit, or by coupler excitations, but might be mitigated using methods similar to refs. 38,40. The second and more catastrophic failure mode manifests as many detectors simultaneously that long repetition codes are a crucial tool for discovering new error experiencing a larger spike i"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,failure-mention,5,"then be processed downstream during a fuse step. If a configuration of detection events cannot be resolved by a future fuse step, the decoder heralds failure. We use ten-cycle blocks to ensure that the heralded failure rate is negligible compared with the logical failure rate. c, Decoder latency versus exp"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,failure-mention,5,"ration of detection events cannot be resolved by a future fuse step, the decoder heralds failure. We use ten-cycle blocks to ensure that the heralded failure rate is negligible compared with the logical failure rate. c, Decoder latency versus experiment duration. Each blue point corresponds to a latency me"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,failure-mention,5,"ture fuse step, the decoder heralds failure. We use ten-cycle blocks to ensure that the heralded failure rate is negligible compared with the logical failure rate. c, Decoder latency versus experiment duration. Each blue point corresponds to a latency measurement for a full shot (ten shots per duration; ho"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,challenge-mention,1,"ntum Although achieving below-threshold physical error rates is itself a chemistry5, quantum simulation6, cryptography7 and optimization8. formidable challenge, fault-tolerant quantum computing also imposes However, quantum information is fragile and quantum operations are requirements beyond raw performanc"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,challenge-mention,1,"sed exponen- hundreds of nanoseconds, provide an advantage in speed but also a tially as we increase the number of physical qubits per logical qubit. challenge for decoding errors both quickly and accurately. This behaviour is expressed in the approximate relation In this work, we realize surface codes oper"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,challenge-mention,5,"klog of syndrome information Shot latency Subshot latency can cause an exponential increase in computation time23. Real-time decoding is particularly challenging for superconducting processors due to their speed. The throughput of transmitting, processing and decoding the syndrome information in each cycle"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,challenge-mention,6,"ccuracy compared with our offline decoders. with better-than-physical error rates. Preprint at https://arxiv.org/abs/2404.02280 (2024). Even so, many challenges remain ahead of us. Although we might, 21. Gidney, C. & Ekerå, M. How to factor 2,048 bit RSA integers in 8 hours using 20 million in principle, ac"
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,challenge-mention,6,"qubits. Scaling up will 307–346 (2015). 24. Koch, J. et al. Charge-insensitive qubit design derived from the Cooper pair box. Phys. bring additional challenges in real-time decoding as the syndrome Rev. A 76, 042319 (2007). measurements per cycle increase quadratically with the code distance. 25. Arute, F."
Acharya et al. - 2025 - Quantum error correction below the surface code threshold.pdf,Acharya et al. (Willow),yes,partial,weak,challenge-mention,6,"tps://arxiv.org/abs/2408.02082 (2024). 34. Klimov, P. V. et al. Optimizing quantum gates towards the scale of logical qubits. Nat. memory, additional challenges will arise in logical computation57,58. On Commun. 15, 2442 (2024). the classical side, we must ensure that software elements including 35. Ofek, N"
Amin et al. - 2023 - Quantum error mitigation in quantum annealing.pdf,Amin et al.,yes,partial,weak,challenge-mention,4,"ed in λ, using a quadratic fit, Eq. (16). (c) λ(κ) obtained from collapse (circles) compared to those obtained from Eq. (15) (triangles). H in (1) is challenging because both Γ(s) and (s) are Forthecaseofthermalnoise,theenvironmentdoesnot S J fixed functions. However, one can easily scale down H affectthesy"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,strong,worse-than,25,"eficit is equal or of the Max-Cut problem, QAOA for p = 1 was shown greater than zero f R ≥0, with f R =0 when the PQC can to perform equally well or worse than classical algo- generate a state ∣Ψ(θ∗)⟩, where θ∗ are the parameters rithms (Bravyi et al., 2019; Hastings, 2019). For more that minimizes the objec"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,limitation-mention,1,"this review, we provide a thorough summary of NISQ compu- tational paradigms and algorithms. We discuss the key structure of these algorithms, their limitations, and advantages. We additionally provide a comprehensive overview of various benchmarking and software tools useful for programming and testing NISQ"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,limitation-mention,11,"quently speeds up the mentally. Quantum computing devices possess a series classical optimization routine to find the optimal angles. of experimental limitations that include, among others, ThisframeworkwaslatergeneralizedastheQuantumAl- a particular qubit connectivity, a restricted gate set, and ternating Op"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,limitation-mention,25,"t does not can ‘see’ the whole graph with no known indications re- hold true for finite fixed depths p. In fact, it was shown garding the performance limitations. thatQAOAexhibitsreachabilitydeficitsfortheMAX-2- ForthecasewheretheproblemHamiltonianH takes SATandMAX-3-SATproblems,wheretheoptimalvalue P the for"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,limitation-mention,27,"rtly and Υ corresponds to the model pa- the individual technique. rameters. We note that the expectation value E is The ZNE scheme suffers from a few limitations. The a real number that can only be obtained in the infi- scheme works by extrapolation, and hence it is challeng- nite measurement limit. With limi"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,limitation-mention,31,"ivity that al- the qubit Clifford group. lows two-qubit gates implementation, and experimental There are infinitely many universal gate sets, but the limitations such as decoherence time, which imposes a Clifford group’s gates H, S and CNOT, together with certain maximum circuit depth in terms of the number t"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,limitation-mention,32,"particular qubit connectivity or topology, a task also known as the 2. Circuit decompositions qubit routing problem. In general, due to experimental limitations, not all qubits are connected, which means Once the native gate set is fixed, the next step con- that two-qubit operations are not always possible."
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,limitation-mention,32,con- that two-qubit operations are not always possible. A sists of decomposing the theoretical unitary circuit into naive approach to circumvent this limitation consist of this basic set. A raw translation of all single and two- swapping each qubit state with its neighbour (by using qubit gates into the nativ
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,limitation-mention,42,"turethermalstateofagiven anyclassical-quantumfeedbackloop,canbeparallelized, Hamiltonian. evades the barren plateau problem by construction, sup- The limitations of using variational QML algorithms plies a systematic approach to constructing the ansatz to learn a scrambling unitary have also been studied in a"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,limitation-mention,61,"cientvari- ational ansäte are used to represent different types of distributions and study the effect of noise and hardware D. Application benchmarks limitations on the result. While hardware benchmarks, such as randomized In addition to VQAs, one can analyze more funda- benchmarking or quantum volume, provid"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,failure-mention,13,"uire an s to estimate the expectation value ⟨Pˆ⟩ with an additive understandingoftheunderlyingproblemandareusually U error of at most (cid:15) with a failure probability of at most δ not applicable for every use of the VQE. isboundedbyHoeffding’sinequality(Huangetal.,2019) 2 2 N ≥ log( ). (28) Measurement"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,1,"arning,quantumchemistryandcombinatorialoptimization. Thegoal of such algorithms is to leverage the limited available resources to perform classically challenging tasks. In this review, we provide a thorough summary of NISQ compu- tational paradigms and algorithms. We discuss the key structure of these algor"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,2,", at the present day, still far from current References 64 experimental capabilities. To achieve the goal of fault- tolerant quantum computation, the challenge is to scale Appendices 80 upthenumberofqubitswithsufficientlyhighqubitqual- A. NISQalgorithmsandtoolstables 80 ity and fidelity in operations such a"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,2,"and Ben-Or, B. Tableofsoftwarepackages 83 C. Tableofexternallibraries 84 2008;Kitaev,2003;Knilletal.,1998). Asthesystemsize grows, it becomes highly challenging to contain the er- B. Classicaloptimizationstrategies 84 rors associated with cross-talk and measurements below A. Gradient-basedapproaches 84 the"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,5,are influenced by human use of noisy quantum devices. We also cover the pos- bias. Algorithms developed for near-term hardware may sible trainability challenges that VQA have and how to be unfeasible if hardware advancement does not match map theoretical NISQ circuits to real hardware. Section
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,10,"developed to reduce the number of param- and alternative ansätze are proposed to mitigate these eters and accelerate the convergence (McClean et al., challenges. 2016; Wecker et al., 2015). Instead of the Hartree-Fock We restrict our discussion here to provide a short operators, the terms of the fermionic H"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,11,"ing the state ansätze can ensure fast convergence to a satisfying so- evolution to the feasible subspace where no hard con- lution state, they can be challenging to realize experi- straints are violated, which consequently speeds up the mentally. Quantum computing devices possess a series classical optimiza"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,14,"Material high-depth analytical gradient circuits cannot be imple- and summarized in the following paragraphs. mented. In addition, one of the biggest challenges in parameter optimization is the large number of measure- ments required for estimating the mean value of an ob- Finite difference. One can compute"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,17,"nical system. The system is assigned execute on near-term quantum processors, a significant an artificially-induced control parameter, called temper- challenge in implementing these algorithms is the pro- ature. Like annealing, SA starts with some high temper- hibitive number of measurements, or shots, requ"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,17,"llow- estimate each expectation value that is used to com- ing some temperature variation function called “anneal- pute the objective. To address the challenge, (Arra- ing schedule” such that the final temperature is T = 0. smith et al., 2020b) developed a shot-frugal optimizer Thealgorithmchoosesacandidate"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,23,"lsobeunderstood as a initialization strategy (Cervera-Lierta et al., 2021a) (see Sec. VI.B). Classical algorithms such as neural net- IV. THEORETICAL CHALLENGES workscanalsobeusedtolearnthepropercircuitencod- A. Barren plateaus ings (Verdon et al., 2019a). Agoodchoicefortheinitialstateisoftennotenoughto It"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,23,"in VQAs (Wang et al., 2020b). therefore mimicking gradient-based optimization, seem Entanglement-inducedbarrenplateaushavealsobeenre- to face similar challenges. However, one can circumvent ported recently (Marrero et al., 2020). this issue by using hybrid quantum states of the form While certain ansätze ca"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,23,"hile certain ansätze can be assumed or proven to of equation Eq. (42) or hybrid density matrices as in- form (approximate) 2-designs, such proofs are challeng- troduced in Ref. (Haug and Bharti, 2020). The idea is ing for the general ones. To numerically verify the pres- to write the overall ansatz as a cla"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,27,"he ZNE scheme suffers from a few limitations. The a real number that can only be obtained in the infi- scheme works by extrapolation, and hence it is challeng- nite measurement limit. With limited number of mea- ing to obtain result guarantees in general. The number surement samples N, statistical estimatio"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,32,"s of tion. Moreover,findingthedecompositionofgatesacting the qubits involved, returning to the original state with on more than one qubit might prove challenging in gen- theintendedtwo-qubitgateappliedtoit. Thistranslates eral. Besides common circuit decompositions mentioned into a significant growth of the"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,35,"antum soft- startbyintroducingconceptsonmappingphysicalprob- ware libraries. lems onto the quantum computer. Then, we introduce algorithms for common challenges, such as finding the static as well as dynamic properties of quantum systems VI. APPLICATIONS invarioussettings. AllNISQalgorithmsdiscussedinthis s"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,35,ion are listed in Table I. A. Many-body physics and chemistry Understanding the static and dynamic properties of quantum mechanical systems is a core challenge at the
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,38,"sconvergedtoanactualeigenstateoftheHamil- Adiabatically assisted VQE. The ground state of more tonian, can be checked directly on the quantum proces- challengingHamiltonianscanbedifficulttofindforstan- sor by verifying that the variance of the energy var = dardVQEduetoconvergencetolocalminimainsteadof ⟨(H −"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,39,"z,theorthogonallyconstrained willnotdiffertoomuch,makingtheoptimizationtaskat VQE can find excited states of small molecules (Higgott every step less challenging compared to directly solving et al.,2019;Leeet al.,2018). Itwasfurtherextendedfor forH(1). Previousworks(McCleanetal.,2016)alsosug- adaptive circu"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,40,"non-variational pro- to treating degenerate or quasi-degenerate states at the posals (Jensen et al., 2020), which are considered to be same footing. challenging for larger systems on NISQ devices."
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,48,"tonian parameter λ, e.g. the in- tools as QRAM (Giovannetti et al., 2008), experimen- teratomic distance, but other properties, like the energy tally challenging for the NISQ era. The studies towards gap between ground state and first excited state can be QRAM in (Park et al., 2019a) proposed an approach to"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,48,"ound state profile, e.g. tion and sampling. At the moment of writing, building to extract the λ whose ground state has minimal en- min a QRAM remains challenging and further investigations ergy. Inthatdirection,someproposalssuggesttoencode are required. the parameters of the Hamiltonian into the PQC and Ing"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,56,"aprogrammabledevicecontrolled ityinthedifferentialequationsincrease,findingsolutions with Qiskit Pulse software (Alexander et al., 2020), the becomes challenging. To achieve higher accuracy, local first step towards performing a GHZ test. methods require a fine grid, which renders high compu- Inthecontextof"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,56,"ral and Cunha, 2018). Us- set, leading to more extensive resource requirements. To ingthenotionof“strongcontextuality”,(KirbyandLove, tackle resource challenges, quantum algorithms are pro- 2019) categorized VQE experiments into two categories: posed. contextualandnon-contextual. Suchfoundationalworks Linea"
Bharti - 2022 - Noisy intermediate-scale quantum algorithms.pdf,Bharti,yes,yes,weak,challenge-mention,56,"quantifies nonlinearity, and V is the ex- used to compute the “decoherence functional”, which is ternal potential. Recently, NISQ algorithms for NLDE challenging to calculate classically. The classical com-"
